scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
clean_60	clean_60_s1101	tandemx	1101	development	3	3	True	0.54379479191266	31.046875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.4928571428571429	1.0	1.0	1.0	1.0	0.9983440166707604	0.9991713221970667	0.0
clean_729	clean_729_s1101	tandemx	1101	development	3	3	True	0.62725670915097	28.921875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5285714285714286	1.0	1.0	1.0	1.0	0.9997583705029158	0.9998791706534909	0.0
dispersed_control	dispersed_control_s1101	tandemx	1101	development	3	3	True	0.7834644168615341	26.890625	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
divergent_units	divergent_units_s1101	tandemx	1101	development	3	3	True	1.1152367498725653	29.15625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	3.1142857142857143	1.0	1.0	1.0	0.9983987747145642	0.99856561942959	0.9984821901022085	0.0
indel_01pct	indel_01pct_s1101	tandemx	1101	development	3	3	True	0.970074666896835	29.5	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.5642857142857143	1.0	1.0	1.0	0.9999721537668992	0.998505460283476	0.9992382688180645	0.0
indel_4pct	indel_4pct_s1101	tandemx	1101	development	3	3	True	0.9634788748808205	29.015625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.14285714285714285	1.7428571428571429	1.0	1.0	1.0	0.9995682030281504	0.99873352539212	0.9991506898904251	0.0
short_arrays	short_arrays_s1101	tandemx	1101	development	3	3	True	0.47654762491583824	27.0625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.2214285714285715	1.0	1.0	1.0	1.0	0.995260663507109	0.997624703087886	0.0
substitution_1pct	substitution_1pct_s1101	tandemx	1101	development	3	3	True	1.0068055000156164	28.96875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.6	1.0	1.0	1.0	0.9999930381509329	0.9984499033796277	0.9992208749852175	0.0
substitution_5pct	substitution_5pct_s1101	tandemx	1101	development	3	3	True	1.0934784160926938	28.671875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.02857142857142857	1.9642857142857142	1.0	1.0	1.0	0.9993943191311613	0.9986920920266312	0.9990430821801024	0.0
two_arrays	two_arrays_s1101	tandemx	1101	development	3	3	True	1.067231000168249	29.640625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.65	1.0	1.0	1.0	1.0	0.9975935243929118	0.9987953126711203	0.0
