reported_species	reported_material	run_accession	read_count	total_bases	median_read_length	read_n50	gc_fraction	n_fraction	exact_duplicate_read_ids	raw_sha256	qc_receipt	qc_receipt_sha256	warning
Zea mays	Mo17	SRR15447419	407670	5624644958	13455	13968	0.4592192481991678	0.0	0	3047df8fc93cd0c87d03b968ad702a95a2edf6ae3474d92b08350827d847f05c	paper/evidence/Mo17_input_qc/qc/qc.json	5d8e6b388a27f40714d5f82bd3c38613da72f1507122f3d353beffcbf7f90b93	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Arabidopsis thaliana	Col-0N	ERR6210723	933904	14646601458	15514	15663	0.3676189867280814	0.0	0	79dd524760b6db4eb9d44db5a4776a25dd4b72e80b24186213e92ea83f264c25	paper/evidence/Col0N_input_qc/qc_v1/qc.json	d080363cd4cd4d06b3adec84e7031a9d708e3e7807f5069fd9db75e1f909a290	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Oryza sativa	Nipponbare	SRR25241090	1785885	32966159623	17489	19159	0.43501966980692974	0.0	0	7bc90f777c995268d81f6f39d2baf9ed7c6fb123bcad0964930b7cfaeaa6b16d	paper/evidence/Nipponbare_input_qc/qc_v1/qc.json	1f7b1f70d97566aae5c1a67badde692446ea06e223889c34cc459ed7bc0c07f5	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Hordeum vulgare	Morex	ERR4659246	896701	19525307665	21499	21875	0.44277742785570595	0.0	0	4e6916c802b914140bd6c5eda418db89a06c29fad68d389a38a28117c0cd9f79	paper/evidence/Morex_input_qc/qc_v1/qc.json	87828c2b0ea5f0fe9cf8f6f19aa2e8b086547bc621d7f83cac2407a85ccba244	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Secale cereale	Lo7	ERR15194059	4576975	77092101008	16757	16896	0.4557489262402384	0.0	0	fe04dec3b8f218d823370386b3265353c8c1316c3e1e13d744f9e34cc2079f17	paper/evidence/Lo7_input_qc/qc_v1/qc.json	6991fd8d7dd503ed54581ba4348f7ac5624c63bfa42801af41fd0d00b8f020d2	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Triticum aestivum	Chinese Spring	SRR28200549	1500000	24953679430	15985	16579	0.45957071918672154	0.0	0	951766fc974ed199bd173e184dcde8847a6a709bd8c707629b3ce3e07900532a	paper/evidence/ChineseSpring_input_qc/qc/qc.json	c4f50e67ab8f12dcd6decd25d2c0fc02dd146a48866c90c7a35e4c0d52b21fed	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Avena sativa	Victoria	ERR10422581	398850	7346159178	18137	18295	0.44171793264673526	0.0	0	116bc62711ff6de969b7ed34b30a8e21b5e6bc4fcd5c8c5d194525e9bff4022e	paper/evidence/Victoria_input_qc/qc_v1/qc.json	90a26a385ee61b4410a471fcfb3a1f478c0030b523a7a722b09fa111eb2f2097	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Arabidopsis thaliana	Col-0R	ERR8666127	982810	17746722015	16635	18027	0.37391799276459226	0.0	0	96d13d23c9ca4caaf5d1d2ec4d51b44b0726e749f178101936f1290f3feb1ca7	paper/evidence/Col0R_input_qc/qc_v1/qc.json	f4fc68f0b24da95ccd009fe034ade5367e364a5d7c240e8ac49f4922d361d0fa	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Arabidopsis thaliana	Ey15-2R	ERR8666125	837586	18636790429	21506	22587	0.3714611328798132	0.0	0	bac8475a653b22dc7df7d53baef71fc1098d36f5d56706225ec27b4c739572f8	paper/evidence/Ey15R_input_qc/qc_v1/qc.json	3d54c214ac3ca697fbda03363ce4281bf57289e8529ee3fcfa4a38dc357cd465	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
Glycine soja	YSD56	SRR28726931	2617227	44193089411	16224	17474	0.34749417510009073	0.0	0	2f3565db063e26638b8cf0518ede051300f9af09b504f2eca0c52c0bd7b23975	paper/evidence/YSD56_input_qc/qc_v1/qc.json	bf971238c41b68488c7cbbe2ddc5e81c4b1a624ca42bc655d323debebebbffb8	complete_file_QC_not_biological_accuracy_validation;one_included_library_not_whole_study
