seed	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments
4101	1	f1	1220	1224	1220	1.0	0.9967320261437909	1
4101	1	f2	13680	13682	13680	1.0	0.9998538225405642	1
4101	1	f3	84200	84201	84200	1.0	0.9999881236564886	1
4101	0.75	f1	915	919	915	1.0	0.9956474428726877	1
4101	0.75	f2	10260	10262	10260	1.0	0.9998051062171117	1
4101	0.75	f3	63150	63151	63150	1.0	0.9999841649380057	1
4101	0.5	f1	610	614	610	1.0	0.993485342019544	1
4101	0.5	f2	6840	6842	6840	1.0	0.9997076878105817	1
4101	0.5	f3	42100	42101	42100	1.0	0.999976247595069	1
4101	0.25	f1	305	309	305	1.0	0.9870550161812298	1
4101	0.25	f2	3420	3422	3420	1.0	0.9994155464640561	1
4101	0.25	f3	21050	21051	21050	1.0	0.9999524963184647	1
4101	0	f1	0	0	0	NA	NA	0
4101	0	f2	0	0	0	NA	NA	0
4101	0	f3	0	0	0	NA	NA	0
4102	1	f1	1220	1221	1220	1.0	0.9991809991809992	1
4102	1	f2	13680	13682	13680	1.0	0.9998538225405642	1
4102	1	f3	84200	84201	84200	1.0	0.9999881236564886	1
4102	0.75	f1	915	916	915	1.0	0.9989082969432315	1
4102	0.75	f2	10260	10262	10260	1.0	0.9998051062171117	1
4102	0.75	f3	63150	63151	63150	1.0	0.9999841649380057	1
4102	0.5	f1	610	611	610	1.0	0.9983633387888707	1
4102	0.5	f2	6840	6842	6840	1.0	0.9997076878105817	1
4102	0.5	f3	42100	42101	42100	1.0	0.999976247595069	1
4102	0.25	f1	305	306	305	1.0	0.9967320261437909	1
4102	0.25	f2	3420	3422	3420	1.0	0.9994155464640561	1
4102	0.25	f3	21050	21051	21050	1.0	0.9999524963184647	1
4102	0	f1	0	0	0	NA	NA	0
4102	0	f2	0	0	0	NA	NA	0
4102	0	f3	0	0	0	NA	NA	0
4103	1	f1	1220	1220	1220	1.0	1.0	1
4103	1	f2	13680	13681	13680	1.0	0.9999269059279292	1
4103	1	f3	84200	84200	84200	1.0	1.0	1
4103	0.75	f1	915	915	915	1.0	1.0	1
4103	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	1
4103	0.75	f3	63150	63150	63150	1.0	1.0	1
4103	0.5	f1	610	610	610	1.0	1.0	1
4103	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	1
4103	0.5	f3	42100	42100	42100	1.0	1.0	1
4103	0.25	f1	305	305	305	1.0	1.0	1
4103	0.25	f2	3420	3421	3420	1.0	0.9997076878105817	1
4103	0.25	f3	21050	21050	21050	1.0	1.0	1
4103	0	f1	0	0	0	NA	NA	0
4103	0	f2	0	0	0	NA	NA	0
4103	0	f3	0	0	0	NA	NA	0
